Retailer,Retailer ID,Invoice Date,Month,Region,State,City,Product,Sales Method,Price per Unit,Units Sold,Total Sales,Operational Margin,Profit
Foot Locker,1185732,01-01-2020,January,Northeast,New York,New York,Men Street Footwear,In-store,50.00,1200,60000,5%,3000.00
Foot Locker,1185732,02-01-2020,January,Northeast,New York,New York,Men Athletic Footwear,In-store,50.00,1000,50000,3%,1500.00
Foot Locker,1185732,03-01-2020,January,Northeast,New York,New York, Women Street Footwear,In-store,40.00,1000,40000,4%,1400.00
Foot Locker,1185732,04-01-2020,January,Northeast,New York,New York, Women Athletic Footwear,In-store,45.00,850,38250,4%,1338.75
Foot Locker,1185732,05-01-2020,January,Northeast,New York,New York,Men Apparel,In-store,60.00,900,54000,3%,1620.00
Foot Locker,1185732,06-01-2020,January,Northeast,New York,New York, Women Apparel,In-store,50.00,1000,50000,3%,1250.00
Foot Locker,1185732,07-01-2020,January,Northeast,New York,New York,Men Street Footwear,In-store,50.00,1250,62500,5%,3125.00
Foot Locker,1185732,08-01-2020,January,Northeast,New York,New York,Men Athletic Footwear,Outlet,50.00,900,45000,3%,1350.00
Foot Locker,1185732,21-01-2020,January,Northeast,New York,New York, Women Street Footwear,Outlet,40.00,950,38000,4%,1330.00
Foot Locker,1185732,22-01-2020,January,Northeast,New York,New York, Women Athletic Footwear,Outlet,45.00,825,37125,4%,1299.38
Foot Locker,1185732,23-01-2020,January,Northeast,New York,New York,Men Apparel,Outlet,60.00,900,54000,3%,1620.00
Foot Locker,1185732,24-01-2020,January,Northeast,New York,New York, Women Apparel,Outlet,50.00,1000,50000,3%,1250.00
Foot Locker,1185732,25-01-2020,January,Northeast,New York,New York,Men Street Footwear,Outlet,50.00,1220,61000,5%,3050.00
Foot Locker,1185732,26-01-2020,January,Northeast,New York,New York,Men Athletic Footwear,Outlet,50.00,925,46250,3%,1387.50
Foot Locker,1185732,27-01-2020,January,Northeast,New York,New York, Women Street Footwear,Outlet,40.00,950,38000,4%,1330.00
Foot Locker,1185732,28-01-2020,January,Northeast,New York,New York, Women Athletic Footwear,Outlet,45.00,800,36000,4%,1260.00
